# ID,label,height,root_density,area,shape_index,linearity,sphericity,verticality,density,omnivariance,local_planarity,volume_occupancy,vertical_density_ratio
   0.00000,   0.00000,  19.73000,   0.00276,  46.98954,   1.64152,   0.70143,   0.01788,   1.20898,  17.36268,   1.72125,   0.29862,   0.42590,  15.90654
   1.00000,   0.00000,   8.47000,   0.00434,  53.22318,   1.86922,   0.22824,   0.05832,   1.49768,  15.11287,   2.29554,   0.24258,   0.58962,   6.63235
   2.00000,   0.00000,  15.57000,   0.00145, 239.90445,   4.01883,   0.36718,   0.15586,   1.46425,   7.17376,   8.79732,   0.37191,   0.60880,   3.45817
   3.00000,   0.00000,  16.47000,   0.00097, 265.78952,   4.28723,   0.59589,   0.15477,   1.39733,   7.74772,   9.32391,   0.30749,   0.52945,   1.79321
   4.00000,   0.00000,   9.75000,   0.00041, 332.97028,   4.87980,   0.19935,   0.04267,   1.55546,  11.01370,   7.27928,   0.33074,   0.40567,   3.88321
   5.00000,   0.00000,  13.58000,   0.00118, 102.33717,   2.63021,   0.13887,   0.04635,   1.50147,  14.41378,   2.69725,   0.34066,   0.51766,   5.57087
   6.00000,   0.00000,   8.33000,   0.00062,  85.87453,   2.36997,   0.58984,   0.03123,   1.56429,  40.94459,   2.06413,   0.25967,   0.53872,   1.16890
   7.00000,   0.00000,  17.41000,   0.00031, 365.96097,   4.82694,   0.33788,   0.44099,   1.56443,  15.82305,   6.98133,   0.33161,   0.51070,   0.29542
   8.00000,   0.00000,  11.57000,   0.00129, 227.85353,   3.97012,   0.34282,   0.28252,   1.54037,   9.04992,   5.83068,   0.35329,   0.54782,   3.19826
   9.00000,   0.00000,  14.16000,   0.00108, 180.44446,   3.25629,   0.71332,   0.15441,   1.45241,   6.87581,   5.80283,   0.35481,   0.64182,   4.77882
  10.00000,   0.00000,  13.56000,   0.00111, 192.89429,   3.51677,   0.10398,   0.22234,   1.56914,  22.01307,   4.26468,   0.38996,   0.45122,   1.66952
  11.00000,   0.00000,  18.11000,   0.00061, 277.18469,   4.48349,   0.37830,   0.18365,   1.37450,   8.99448,   8.36379,   0.40773,   0.47708,   2.63181
  12.00000,   0.00000,   8.54000,   0.00578,  50.15804,   1.82713,   0.36896,   0.13135,   1.37719,  13.45517,   1.76237,   0.28648,   0.59797,   3.94545
  13.00000,   0.00000,  15.49000,   0.00149, 172.55748,   3.39995,   0.85086,   0.11311,   1.50506,  10.98682,   4.16106,   0.34707,   0.45774,   2.41653
  14.00000,   0.00000,   8.39000,   0.00125, 184.25580,   3.53537,   0.09281,   0.05667,   1.51202,  11.64889,   4.96435,   0.39261,   0.66315,  11.55594
  15.00000,   0.00000,  13.16000,   0.00042, 765.83606,   7.11978,   0.51076,   0.38580,   1.54434,   4.57992,  20.75983,   0.32361,   0.63948,  10.23316
  16.00000,   0.00000,  12.85000,   0.00093, 137.01289,   3.09228,   0.12338,   0.05580,   1.47972,  10.44226,   5.08602,   0.35951,   0.64556,   3.41626
  17.00000,   0.00000,   8.72000,   0.00071, 208.93623,   3.64275,   0.13840,   0.02356,   1.55503,  20.58168,   3.42616,   0.32641,   0.49308,  15.89157
  18.00000,   0.00000,   7.56000,   0.00447,  31.18900,   1.37856,   0.26612,   0.09989,   1.42602,  17.72106,   1.14679,   0.33115,   0.62708,  10.52577
  19.00000,   0.00000,  10.64000,   0.00066, 157.60658,   3.30481,   0.05145,   0.23290,   1.48064,   9.32779,   4.70439,   0.35435,   0.62734,  13.06075
  20.00000,   0.00000,  14.74000,   0.00180, 159.40784,   3.24226,   0.51147,   0.17660,   1.43013,   7.81851,   6.10359,   0.39904,   0.62489,   5.92290
  21.00000,   0.00000,  16.21000,   0.00091, 188.95256,   3.48071,   0.23074,   0.03529,   1.40607,  13.82612,   4.12130,   0.41572,   0.44814,   4.97019
  22.00000,   0.00000,  12.54000,   0.00050, 470.96478,   5.41044,   0.30613,   0.07043,   1.51275,   7.18769,  16.02564,   0.28556,   0.57994,   1.39406
  23.00000,   0.00000,  14.21000,   0.00056, 389.76498,   5.05520,   0.06169,   0.03085,   1.52279,   5.91160,  14.28911,   0.33640,   0.69612,   2.53428
